I1.1,I1.2,I1.3,I1.4,PU2.1,PU2.2,PU2.3,PU2.4,PE3.1,PE3.2,PE3.3,PE3.4,UI1,UI2,UI3,UI4
5,5,5,5,5,5,4,4,5,3,5,5,5,4,5,5
5,5,5,5,5,5,5,4,5,5,5,5,4,3,5,5
5,5,5,5,4,5,4,4,5,4,5,5,4,4,4,5
5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
4,5,5,4,4,5,4,4,4,3,5,4,5,4,4,5
4,4,5,4,5,5,5,4,5,5,5,5,5,4,4,5
4,4,5,4,5,5,5,4,5,5,5,5,4,4,4,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,5,3,5,5,5,4,5,5,5,5,4,3,4,4
4,4,5,3,4,5,4,4,5,5,4,4,4,4,4,4
4,4,5,4,5,5,5,3,5,5,5,5,3,3,4,4
4,4,5,5,4,5,5,3,5,5,5,5,4,3,4,4
4,5,5,4,5,5,5,4,5,3,5,4,4,4,5,5
5,5,5,4,5,5,4,4,5,4,5,4,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
